Date,User,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-29T07:18:44.038Z","herondevteam@ab.gridlexmail.com","On-Demand","claude-4.5-opus-high-thinking","No","1853","17","143645","790","146305","0.14"
"2025-12-29T07:18:07.915Z","herondevteam@ab.gridlexmail.com","On-Demand","claude-4.5-opus-high-thinking","No","35667","8","11272","864","47811","0.26"
"2025-12-26T13:15:25.456Z","herondevteam@ab.gridlexmail.com","On-Demand","auto","No","116207","226652","222720","11492","577071","0.55"
"2025-12-26T12:50:29.528Z","herondevteam@ab.gridlexmail.com","On-Demand","auto","No","217116","0","298496","2969","518581","0.36"
"2025-12-26T10:02:52.197Z","herondevteam@ab.gridlexmail.com","On-Demand","auto","No","6533","1972","513024","2528","524057","0.15"
"2025-12-26T10:00:39.716Z","herondevteam@ab.gridlexmail.com","On-Demand","auto","No","12778","2488","492032","3386","510684","0.16"
"2025-12-26T09:39:35.565Z","herondevteam@ab.gridlexmail.com","On-Demand","auto","No","153031","0","307200","3878","464109","0.29"
"2025-12-26T09:28:59.394Z","herondevteam@ab.gridlexmail.com","On-Demand","claude-4.5-opus-high-thinking","No","14906","112","34474","176","49668","0.13"
"2025-12-26T09:28:10.687Z","herondevteam@ab.gridlexmail.com","On-Demand","claude-4.5-opus-high-thinking","No","326","14161","34148","750","49385","0.12"
"2025-12-26T09:24:36.409Z","herondevteam@ab.gridlexmail.com","On-Demand","claude-4.5-opus-high-thinking","No","18825","332","81784","1265","102206","0.22"
"2025-12-26T09:21:41.945Z","herondevteam@ab.gridlexmail.com","On-Demand","claude-4.5-opus-high-thinking","No","4051","14172","11272","3025","32520","0.19"
"2025-12-26T09:19:41.984Z","herondevteam@ab.gridlexmail.com","On-Demand","claude-4.5-opus-high-thinking","No","16488","114","628747","1295","646644","0.61"
"2025-12-26T09:18:36.260Z","herondevteam@ab.gridlexmail.com","On-Demand","claude-4.5-opus-high-thinking","No","351","14196","144954","976","160477","0.21"
"2025-12-26T09:16:48.038Z","herondevteam@ab.gridlexmail.com","On-Demand","claude-4.5-opus-high-thinking","No","1016","89","143938","261","145304","0.12"
"2025-12-26T09:16:02.882Z","herondevteam@ab.gridlexmail.com","On-Demand","claude-4.5-opus-high-thinking","No","14772","99","129166","928","144965","0.22"
